Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED368,-21.6312,7.6388,BottomLayer,90
L_LED369,-21.6388,12.6312,BottomLayer,-90
L_LED370,-26.6388,12.6312,BottomLayer,-90
L_LED371,-31.6388,12.6312,BottomLayer,-90
L_LED372,-36.6388,12.6312,BottomLayer,-90
L_LED373,-41.6388,12.6312,BottomLayer,-90
L_LED374,-46.6388,12.6312,BottomLayer,-90
L_LED375,-51.6388,12.6312,BottomLayer,-90
L_LED376,-56.6388,12.6312,BottomLayer,-90
L_LED377,-61.6388,12.6312,BottomLayer,-90
L_LED378,-66.6388,12.6312,BottomLayer,-90
L_LED379,-71.6388,12.6312,BottomLayer,-90
L_LED380,-76.6388,12.6312,BottomLayer,-90
L_LED381,-76.6312,17.6388,BottomLayer,90
L_LED382,-71.6312,17.6388,BottomLayer,90
L_LED383,-66.6312,17.6388,BottomLayer,90
L_LED384,-61.6312,17.6388,BottomLayer,90
L_LED385,-56.6312,17.6388,BottomLayer,90
L_LED386,-51.6312,17.6388,BottomLayer,90
L_LED387,-46.6312,17.6388,BottomLayer,90
L_LED388,-41.6312,17.6388,BottomLayer,90
L_LED389,-36.6312,17.6388,BottomLayer,90
L_LED390,-31.6312,17.6388,BottomLayer,90
L_LED391,-26.6312,17.6388,BottomLayer,90
L_LED392,-21.6312,17.6388,BottomLayer,90
L_LED393,-16.6312,17.6388,BottomLayer,90
L_LED394,-16.6388,22.6312,BottomLayer,-90
L_LED395,-21.6388,22.6312,BottomLayer,-90
L_LED396,-26.6388,22.6312,BottomLayer,-90
L_LED397,-31.6388,22.6312,BottomLayer,-90
L_LED398,-36.6388,22.6312,BottomLayer,-90
L_LED399,-41.6388,22.6312,BottomLayer,-90
L_LED400,-46.6388,22.6312,BottomLayer,-90
L_LED401,-51.6388,22.6312,BottomLayer,-90
L_LED402,-56.6388,22.6312,BottomLayer,-90
L_LED403,-61.6388,22.6312,BottomLayer,-90
L_LED404,-66.6388,22.6312,BottomLayer,-90
L_LED405,-71.6388,22.6312,BottomLayer,-90
L_LED406,-76.6388,22.6312,BottomLayer,-90
L_LED407,-76.6312,27.6388,BottomLayer,90
L_LED408,-71.6312,27.6388,BottomLayer,90
L_LED409,-66.6312,27.6388,BottomLayer,90
L_LED410,-61.6312,27.6388,BottomLayer,90
L_LED411,-56.6312,27.6388,BottomLayer,90
L_LED412,-51.6312,27.6388,BottomLayer,90
L_LED413,-46.6312,27.6388,BottomLayer,90
L_LED414,-41.6312,27.6388,BottomLayer,90
L_LED415,-36.6312,27.6388,BottomLayer,90
L_LED416,-31.6312,27.6388,BottomLayer,90
L_LED417,-26.6312,27.6388,BottomLayer,90
L_LED418,-21.6312,27.6388,BottomLayer,90
L_LED419,-16.6312,27.6388,BottomLayer,90
L_LED420,-11.6312,27.6388,BottomLayer,90
L_LED421,-11.6388,32.6312,BottomLayer,-90
L_LED422,-16.6388,32.6312,BottomLayer,-90
